ID,Moved,Fascinated,Funny,Surprised,Indifferent,Calm,Unsettled,Personal,Curious
10006,0.58368,0.64345,-1.1604,-0.30104,-0.20073,0.77598,-0.62055,0.29242,-0.012839
10007,0.21061,0.32411,-0.71008,-0.21588,0.069459,1.2671,-0.4826,-0.034795,-0.42792
10008,0.040869,0.47044,-0.23078,-0.21503,0.27774,0.69228,-1.0114,-0.080741,0.056668
10009,0.52568,0.45611,-0.98536,-0.35563,0.3069,1.0784,-1.0639,0.086923,-0.049088
10010,0.2654,0.26573,-0.78517,0.097911,-0.2548,0.48007,-0.21441,0.28168,-0.13643
20001,0.30796,0.73127,-0.71642,-0.17666,-0.63704,0.5858,-0.6387,0.22371,0.32009
20002,0.26871,0.69223,-0.83755,-0.28019,-0.20818,1.0864,-0.75728,-0.10531,0.14112
20003,0.17903,0.69808,-0.86006,-0.14585,-0.11028,1.0148,-0.79596,-0.15158,0.17181
20004,0.096897,0.75745,-0.71424,0.10569,0.026286,0.35505,-0.52702,-0.34519,0.24507
20005,0.16665,0.77236,-0.98516,0.30201,-0.51455,-0.049244,0.19294,-0.35545,0.47044
20006,0.2073,1.0412,-0.97138,0.11929,-0.6919,0.4594,-0.68289,-0.10866,0.62764
